,PRE: WHAT IS PRESENT RELIGION OF R,PRE: RELIGIOUS IDENTIFICATION,PRE: MARITAL STATUS,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,PRE: SEXUAL ORIENTATION OF R [REVISED],PRE: SUMMARY: TOTAL (FAMILY) INCOME,PRE-POST: SUMMARY: 2020 PRESIDENTIAL VOTE,PRE: WHAT IS YOUR (R) SEX? [REVISED],PRE: SUMMARY: R SELF-IDENTIFIED RACE/ETHNICITY,PRE: FOR WHICH CANDIDATE DID R VOTE IN PRESIDENTIAL PRIMARY,PRE: 7PT SCALE LIBERAL-CONSERVATIVE SELFPLACEMENT,Age,weights
5734,Catholic,Traditional,Divorced,High school credential,Heterosexual or straight,"Under $9,999",Joe Biden,Female,White,,Moderate; middle of the road,75,0.20183503474652
5735,Something else,Traditional,Widowed,High school credential,Heterosexual or straight,"$20,000-24,999",Joe Biden,Male,White,Donald Trump,,-9,0.17524840058668
5736,Atheist,Secular,Never married,"Some post-high school, no bachelor’s degree",Bisexual,"$20,000-24,999",,Female,White,,Slightly conservative,19,0.833298721217233
5737,Something else,Spiritual but not religious,Never married,Less than high school credential,Heterosexual or straight,"$20,000-24,999",,Female,White,,,61,0.493972362148996
5738,,,Widowed,High school credential,Heterosexual or straight,"$10,000-14,999",,Female,White,,,66,0.605012805201824
5739,Protestant,Charismatic/Pentecostal,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Donald Trump,Female,White,,Conservative,74,0.519201359857426
5740,Catholic,Traditional,Married,Less than high school credential,Heterosexual or straight,"$150,000-174,999",Joe Biden,Male,Hispanic,Bernie Sanders,,76,6.63628008436935
5741,Protestant,Mainline,Married,Graduate degree,Heterosexual or straight,"$175,000-249,999",Donald Trump,Male,White,,Conservative,80,0.93263987768237
5742,Protestant,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$75,000-79,999",Donald Trump,Female,White,Donald Trump,Conservative,67,0.452174534143808
5743,Agnostic,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",Donald Trump,Female,White,,Slightly conservative,57,1.52527115810085
5744,Nothing in particular,Spiritual but not religious,Never married,High school credential,Heterosexual or straight,"Under $9,999",,Female,White,Elizabeth Warren,Slightly liberal,39,0.0
5745,Nothing in particular,None of the above,Never married,"Some post-high school, no bachelor’s degree",Something else,"Under $9,999",,Female,Black,,,32,0.731899042606211
5746,Mormon,Mainline,Widowed,High school credential,Heterosexual or straight,"$10,000-14,999",,Female,Black,Bernie Sanders,Conservative,62,0.0
5747,Protestant,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",Donald Trump,Female,White,,Conservative,76,0.237867252511348
5748,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$110,000-124,999",,Male,White,,Moderate; middle of the road,58,1.98314324710209
5749,Catholic,Traditional,Married,High school credential,Heterosexual or straight,"$125,000-149,999",Joe Biden,Male,White,Pete Buttigieg,Extremely liberal,73,2.9079344654295
5750,Catholic,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",,Male,White,,Liberal,59,0.0774798928267667
5751,Nothing in particular,Spiritual but not religious,Never married,High school credential,Heterosexual or straight,"Under $9,999",,Female,White,,Moderate; middle of the road,28,0.445498456517673
5752,Nothing in particular,None of the above,Married,High school credential,Heterosexual or straight,"$15,000-19,999",,Female,White,,,29,0.0
5753,Protestant,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$75,000-79,999",Joe Biden,Female,White,Elizabeth Warren,Slightly liberal,71,0.464399817722972
5754,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,"$90,000-99,999",Donald Trump,Male,White,Donald Trump,Conservative,69,0.307569813955856
5755,Protestant,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$50,000-59,999",Jo Jorgensen,Female,Multiracial,,Conservative,34,0.570921700203283
5756,Something else,Traditional,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",,Female,Hispanic,,Extremely conservative,25,2.88048906416638
5757,Jewish,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$150,000-174,999",Joe Biden,Male,White,Joe Biden,Slightly liberal,68,0.841797375709163
5758,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,,Male,White,,Conservative,-9,0.0
5759,Catholic,Spiritual but not religious,Never married,,Heterosexual or straight,"$20,000-24,999",Joe Biden,Female,Hispanic,,Moderate; middle of the road,55,0.0386774561725744
5760,Something else,Non-traditional believer,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$125,000-149,999",Donald Trump,Male,White,,Moderate; middle of the road,24,2.32465409077142
5761,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,White,,Conservative,72,0.85225456488018
5762,Nothing in particular,Spiritual but not religious,Never married,High school credential,Heterosexual or straight,"Under $9,999",,Female,White,,,36,0.341856855710994
5763,Catholic,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",,Male,White,,Moderate; middle of the road,62,0.258389687321119
5764,Something else,Mainline,Married,Graduate degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,White,Joe Biden,Moderate; middle of the road,45,0.365441782151394
5765,Agnostic,Spiritual but not religious,Never married,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Male,White,Bernie Sanders,Extremely liberal,38,0.319559513901439
5766,Protestant,Progressive,Divorced,Bachelor’s degree,Heterosexual or straight,"$10,000-14,999",Joe Biden,Female,White,Bernie Sanders,Liberal,60,0.1017310685078
5767,Mormon,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$90,000-99,999",Donald Trump,Female,White,Donald Trump,Conservative,62,0.991212282047123
5768,Catholic,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,White,Amy Klobuchar,,54,0.166444368926377
5769,Protestant,Traditional,Never married,"Some post-high school, no bachelor’s degree",Bisexual,"$175,000-249,999",Jo Jorgensen,Male,White,,Moderate; middle of the road,54,1.63651235488219
5770,Agnostic,Secular,Never married,"Some post-high school, no bachelor’s degree",Homosexual or gay (or lesbian),"$20,000-24,999",Joe Biden,Male,White,,Liberal,33,0.101460953971226
5771,Something else,Traditional,Divorced,High school credential,Heterosexual or straight,"$10,000-14,999",Donald Trump,Female,Multiracial,Donald Trump,Conservative,46,0.817430236114037
5772,Catholic,Traditional,Divorced,Graduate degree,Heterosexual or straight,,Donald Trump,Female,White,Donald Trump,Conservative,80,0.419372333007182
5773,Catholic,Traditional,Never married,Graduate degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,White,Joe Biden,Liberal,54,0.117593262354331
5774,Catholic,Spiritual but not religious,Married,High school credential,Heterosexual or straight,"$50,000-59,999",,Female,White,,Extremely liberal,44,0.0
5775,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$75,000-79,999",Donald Trump,Female,Asian/NHPI,Donald Trump,Conservative,58,0.334654465503176
5776,Agnostic,None of the above,Never married,,Heterosexual or straight,"$250,000 or more",Joe Biden,Female,White,,Moderate; middle of the road,20,2.23843400960316
5777,Catholic,Non-traditional believer,Married,Graduate degree,Heterosexual or straight,"Under $9,999",Donald Trump,Male,Hispanic,,Conservative,50,0.112645504634566
5778,Something else,Mainline,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Donald Trump,Female,White,Donald Trump,Extremely liberal,-9,0.176491205560149
5779,Nothing in particular,Spiritual but not religious,Never married,Less than high school credential,Bisexual,"Under $9,999",,Female,White,,,53,0.620536506455859
5780,Nothing in particular,Traditional,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,White,Donald Trump,Moderate; middle of the road,36,0.36960411852666
5781,Something else,Traditional,Married,High school credential,Heterosexual or straight,"$70,000-74,999",Joe Biden,Female,White,3rd party,Conservative,39,2.32141190591792
5782,Catholic,Progressive,Married,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Female,White,Joe Biden,Liberal,62,1.44308760086154
5783,Something else,None of the above,Married,Less than high school credential,Heterosexual or straight,"$10,000-14,999",,Female,Black,,,38,2.17243111981453
5784,Nothing in particular,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,,Moderate; middle of the road,50,2.50554744703413
5785,Something else,Traditional,Divorced,Bachelor’s degree,Heterosexual or straight,"Under $9,999",Joe Biden,Male,Black,Joe Biden,Conservative,64,0.181516690462514
5786,Mormon,Spiritual but not religious,Never married,High school credential,Heterosexual or straight,"Under $9,999",,Male,Black,,Slightly liberal,64,2.26229642970275
5787,Catholic,Spiritual but not religious,Divorced,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Donald Trump,Female,Multiracial,,Moderate; middle of the road,44,1.64123498678854
5788,Something else,Charismatic/Pentecostal,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$250,000 or more",Joe Biden,Female,Black,Joe Biden,Liberal,75,1.03152831868435
5789,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$90,000-99,999",Donald Trump,Male,Multiracial,,Moderate; middle of the road,63,0.635353922355057
5790,Catholic,Traditional,Married,Graduate degree,Heterosexual or straight,,,Male,White,,Conservative,-9,0.686809272159858
5791,Nothing in particular,Spiritual but not religious,Divorced,Graduate degree,Heterosexual or straight,"$60,000-64,999",Donald Trump,Male,Hispanic,Joe Biden,Moderate; middle of the road,38,0.800376309728227
5792,Catholic,None of the above,Divorced,Graduate degree,Bisexual,"Under $9,999",,Female,AIAN,,Conservative,19,0.0
5793,Nothing in particular,Spiritual but not religious,Divorced,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",,Male,White,,Liberal,67,3.20258457620293
5794,Nothing in particular,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$125,000-149,999",,Male,White,,,37,2.06668665869649
5795,Protestant,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,White,Joe Biden,Moderate; middle of the road,56,0.825031172041386
5796,Protestant,Charismatic/Pentecostal,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$25,000-29,999",,Female,White,,Slightly conservative,35,0.0
5797,Nothing in particular,Spiritual but not religious,Never married,High school credential,Heterosexual or straight,"Under $9,999",Joe Biden,Male,Hispanic,,,25,0.564053915905546
5798,Catholic,Traditional,Widowed,High school credential,Heterosexual or straight,"$75,000-79,999",Donald Trump,Male,White,,Slightly conservative,80,0.415533820907257
5799,Catholic,Spiritual but not religious,Never married,Bachelor’s degree,Heterosexual or straight,"$35,000-39,999",Joe Biden,Female,White,Bernie Sanders,Liberal,37,0.323114315730682
5800,Something else,Secular,Married,Graduate degree,Bisexual,"$90,000-99,999",Joe Biden,Female,Asian/NHPI,,Moderate; middle of the road,77,0.184592925631492
5801,Protestant,Traditional,Divorced,Bachelor’s degree,Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,White,Donald Trump,Slightly conservative,54,0.491096368075118
5802,Catholic,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",,Male,White,,Extremely liberal,80,0.0
5803,Catholic,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Donald Trump,Female,White,Donald Trump,,62,0.166602759249918
5804,Something else,Secular,Married,Graduate degree,Heterosexual or straight,"$60,000-64,999",Joe Biden,Female,White,Bernie Sanders,Extremely liberal,38,0.351715594335346
5805,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$35,000-39,999",Joe Biden,Male,White,,,80,0.212071335979621
5806,Mormon,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$60,000-64,999",Donald Trump,Male,White,,Slightly conservative,32,0.317262313731213
5807,Nothing in particular,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$125,000-149,999",Jo Jorgensen,Male,White,,Moderate; middle of the road,54,1.05329195271269
5808,Protestant,Charismatic/Pentecostal,Married,Graduate degree,Heterosexual or straight,"$125,000-149,999",Donald Trump,Male,White,Donald Trump,Conservative,67,0.643408295790324
5809,Something else,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",,Male,White,Donald Trump,Extremely conservative,46,0.0
5810,Something else,Non-traditional believer,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$60,000-64,999",Donald Trump,Male,White,,Moderate; middle of the road,29,0.629252463909109
5811,Nothing in particular,Spiritual but not religious,Married,High school credential,Heterosexual or straight,"$25,000-29,999",,Male,White,Joe Biden,,49,2.46886798509305
5812,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Donald Trump,Male,White,,Conservative,80,0.516172351188787
5813,Something else,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Homosexual or gay (or lesbian),"$50,000-59,999",,Male,White,,,27,1.49861968200273
5814,Protestant,Charismatic/Pentecostal,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$175,000-249,999",Donald Trump,Male,Hispanic,Donald Trump,Extremely conservative,45,0.813966598485843
5815,Catholic,Traditional,Never married,High school credential,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,Hispanic,Joe Biden,Slightly liberal,52,1.34149236224641
5816,Agnostic,None of the above,Never married,"Some post-high school, no bachelor’s degree",Homosexual or gay (or lesbian),"Under $9,999",Joe Biden,Female,White,Bernie Sanders,Extremely liberal,22,0.31775949271123
5817,Catholic,Non-traditional believer,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$80,000-89,999",Joe Biden,Male,White,,Slightly liberal,37,0.275290817938916
5818,Something else,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Donald Trump,Female,White,,Slightly conservative,67,0.381601670281898
5819,Something else,None of the above,Never married,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,,Slightly conservative,22,3.40765162039841
5820,Mormon,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",Donald Trump,Female,White,,Slightly conservative,27,0.410771899716827
5821,Protestant,Progressive,Married,Graduate degree,Heterosexual or straight,"$75,000-79,999",Joe Biden,Female,White,,Liberal,33,0.597571667094302
5822,Something else,Traditional,Divorced,High school credential,Heterosexual or straight,,,Male,White,,,58,0.495610799924674
5823,Something else,Non-traditional believer,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",Joe Biden,Female,White,Pete Buttigieg,Slightly liberal,59,0.087511650845086
5824,Nothing in particular,None of the above,Married,Graduate degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,White,,Slightly liberal,26,1.1184618548523
5825,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Donald Trump,Male,White,,Extremely conservative,59,0.743292167569643
5826,Protestant,Traditional,Widowed,High school credential,Heterosexual or straight,"$10,000-14,999",Joe Biden,Female,White,,Slightly conservative,80,0.235030632405985
5827,Something else,Progressive,Married,Bachelor’s degree,Heterosexual or straight,"$90,000-99,999",Joe Biden,Female,Multiracial,Joe Biden,Extremely liberal,41,0.442402586308916
5828,Something else,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$175,000-249,999",Joe Biden,Female,Black,Joe Biden,Liberal,48,2.38564415389594
5829,Nothing in particular,Non-traditional believer,Married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Male,Asian/NHPI,,Slightly conservative,69,0.519069685077584
5830,Protestant,Traditional,Divorced,Bachelor’s degree,,,Joe Biden,,White,,Moderate; middle of the road,-9,0.159874757245638
5831,Jewish,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,,Joe Biden,Female,White,,Slightly liberal,65,0.562612016778692
5832,Catholic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,White,Elizabeth Warren,Slightly conservative,64,0.644229937384047
5833,Protestant,Charismatic/Pentecostal,Widowed,Bachelor’s degree,Heterosexual or straight,"$70,000-74,999",,Male,Black,Joe Biden,Extremely liberal,79,0.950868324492878
5834,Something else,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Female,White,,Moderate; middle of the road,39,1.04843822881287
5835,Nothing in particular,None of the above,Married,High school credential,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,White,,Moderate; middle of the road,48,1.51708340713143
5836,Nothing in particular,None of the above,Divorced,Bachelor’s degree,Heterosexual or straight,"Under $9,999",Joe Biden,Female,White,Bernie Sanders,Liberal,66,0.0551736020013853
5837,Protestant,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,Donald Trump,Male,White,Donald Trump,Conservative,67,0.28164471828652
5838,Atheist,Spiritual but not religious,Never married,High school credential,Heterosexual or straight,"$10,000-14,999",Donald Trump,Female,White,,Moderate; middle of the road,24,0.83356368761405
5839,Protestant,Spiritual but not religious,Divorced,High school credential,Heterosexual or straight,"$10,000-14,999",Joe Biden,Female,White,,Slightly liberal,52,0.299975961577038
5840,Something else,Progressive,Separated,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$175,000-249,999",Joe Biden,Male,Black,Joe Biden,Slightly liberal,73,1.25818196843519
5841,Agnostic,Spiritual but not religious,Married,High school credential,Heterosexual or straight,"$150,000-174,999",,Female,White,,Liberal,69,6.61699364275568
5842,Protestant,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Donald Trump,Male,White,Donald Trump,Conservative,55,0.391047427836181
5843,Nothing in particular,Progressive,Married,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,Bernie Sanders,Slightly liberal,37,0.86477038569292
